external_gene_name	GM2091_avg	GM2092_avg	GM2093_avg	GM2094_avg	GM2095_avg	GM2096_avg	GM2097_avg	GM2100_avg
	129.481481481481	106.111111111111	106.611111111111	37.5	76.6851851851852	34.4444444444444	106.444444444444	96.6296296296296
0610005C13Rik	1	4	0	3	2	2	1	3
0610006L08Rik	0	0	0	1	0	0	0	0
0610009B22Rik	390	399	386	575	328	406	397	411
0610009E02Rik	65	50	53	60	31	43	43	65
0610009L18Rik	49	54	67	127	58	73	64	56
0610010K14Rik	33	22	36	14	28	17	19	35
0610012D04Rik	0	0	2	0	0	1	1	0
0610025J13Rik	3	0	3	1	2	0	3	2
0610030E20Rik	723	588	702	696	584	685	656	846
0610031O16Rik	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	1	0	1	0
0610038B21Rik	7	7	3	12	5	2	4	4
0610039K10Rik	2	4	5	12	2	1	1	4
0610040B10Rik	50	85	46	163	32	55	54	47
0610040F04Rik	63	44	22	64	18	14	20	23
0610040J01Rik	83	78	100	127	81	118	98	127
0610043K17Rik	9	8	22	12	7	20	13	10
0710001A04Rik	0	0	0	0	0	0	0	0
1010001B22Rik	5	5	8	15	2	7	7	10
1100001I12Rik	0	0	0	0	0	0	0	0
1110002E22Rik	85	59	76	77	71	117	123	165
1110002J07Rik	13	18	18	14	14	18	21	21
1110002L01Rik	148	191	243	213	190	232	204	288
1110002O04Rik	2	2	2	5	2	1	1	2
1110003F10Rik	23	28	21	26	25	20	17	27
1110004F10Rik	2351	2198	1579	3006	1282	1625	1537	1615
1110006O24Rik	43	50	16	51	7	16	14	15
1110008E08Rik	0	1	3	1	5	0	1	0
1110013H19Rik	43	31	20	48	10	19	17	15
1110015O18Rik	5	2	7	4	8	11	7	6
1110017D15Rik	85	57	61	62	34	66	54	59
1110018N20Rik	195	195	137	283	127	124	118	155
1110019B22Rik	0	0	0	0	0	0	0	0
1110019D14Rik	11	16	40	20	32	41	40	48
1110020A21Rik	17	22	17	22	11	14	14	20
1110025L11Rik	0	0	0	0	0	0	0	0
1110025M09Rik	54	51	29	71	27	27	28	27
1110028F11Rik	1	0	1	1	1	0	0	3
1110028F18Rik	0	0	0	0	0	0	0	0
1110032F04Rik	163	148	296	324	246	271	289	393
1110035H17Rik	22	16	11	28	3	9	6	12
1110038B12Rik	264	270	238	353	175	234	237	215
1110038F14Rik	349	350	369	530	373	424	399	453
1110046J04Rik	41	45	68	66	49	41	52	52
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	388	471	420	581	320	383	400	475
1110059G10Rik	440	448	380	589	298	369	371	361
1110060G06Rik	0	2	1	2	2	1	1	2
1110065P20Rik	855	729	820	1191	723	854	743	758
1190001M18Rik	0	1	0	1	0	0	1	2
1190005I06Rik	45	51	37	78	33	28	30	49
1190028D05Rik	0	0	0	0	0	0	0	0
1200007C13Rik	7	3	0	6	0	1	0	0
1300002E11Rik	92	120	172	142	185	183	191	225
1300014J16Rik	18	9	23	22	22	22	21	16
1500002C15Rik	11	33	30	43	28	29	24	36
1500002F19Rik	31	32	14	31	11	10	15	20
1500004A13Rik	905	900	973	1146	858	932	880	1133
1500005C15Rik	0	1	5	0	5	4	6	2
1500009L16Rik	266	284	313	308	264	310	257	311
1500011B03Rik	2771	2398	2067	3326	1820	2136	2029	2280
1500012K07Rik	3	5	9	3	2	4	5	10
1500015A07Rik	241	336	170	506	123	153	143	148
1500015L24Rik	11	14	24	7	16	25	26	36
1500026H17Rik	94	87	49	119	41	49	56	60
1500032F14Rik	2	1	3	4	7	2	3	5
1500035N22Rik	8	5	5	3	2	9	7	6
1600002D24Rik	1	2	0	2	1	0	1	1
1600010M07Rik	1	2	5	5	0	0	4	4
1600012H06Rik	471	448	440	603	393	495	457	499
1600012P17Rik	0	0	0	0	0	0	0	0
1600014C10Rik	701	740	824	871	723	854	837	949
1600014C23Rik	0	2	1	0	0	1	1	4
1600017P15Rik	2	0	3	3	5	3	1	4
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	375	272	208	375	196	205	213	257
1600022D10Rik	0	0	2	2	0	2	2	1
1600023N17Rik	16	8	14	19	9	12	15	18
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	1	0	0	0	0
1600029O15Rik	74	52	118	64	71	91	91	97
1700001C19Rik	4	8	4	12	0	3	2	2
1700001D01Rik	0	1	0	1	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	1	0	0	0	0	0
1700001G11Rik	7	6	8	13	6	11	8	9
1700001G17Rik	8	8	7	21	11	9	7	15
1700001J03Rik	16	11	1	12	4	4	4	1
1700001J04Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	1	0	0	0	0
1700001K23Rik	0	1	1	0	0	1	0	0
1700001L05Rik	202	305	182	371	214	282	211	201
1700001N15Rik	0	0	0	0	0	0	0	1
1700001O22Rik	109	104	87	200	82	92	117	127
1700001P01Rik	12	6	10	4	6	5	5	6
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	8	7	2	17	1	1	1	5
1700003E16Rik	286	238	613	332	542	617	554	641
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	7	12	6	14	7	5	6	13
1700003G18Rik	1	0	1	1	0	0	2	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I16Rik	1	0	0	0	0	0	0	1
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	1	3	1	0	5	1	4
1700003M07Rik	69	79	124	116	115	126	134	129
1700003N22Rik	0	0	0	0	2	1	0	0
1700003O11Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006F04Rik	1	0	1	1	2	1	0	0
1700006H21Rik	0	0	0	0	0	1	0	0
1700006J14Rik	0	0	0	0	0	0	0	1
1700006P03Rik	0	0	0	0	0	0	0	0
1700007E05Rik	5	7	3	4	6	6	2	1
1700007F19Rik	1	1	2	4	2	0	1	1
1700007H22Rik	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	0	2	0	0	0	1
1700007L15Rik	8	5	16	18	3	6	9	4
1700007M16Rik	0	0	0	0	0	0	0	0
1700007P06Rik	2	1	2	2	3	1	5	6
1700008A23Rik	3	3	3	5	5	1	3	1
1700008B11Rik	1	1	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0
1700008J07Rik	60	72	81	126	64	60	66	81
1700008K24Rik	0	0	0	0	0	0	0	0
1700008N11Rik	1	0	2	1	1	0	0	0
1700008O03Rik	66	53	54	78	34	44	48	40
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	1	1	1	2	1	4	0	2
1700009J07Rik	0	1	0	0	2	1	2	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010B13Rik	0	1	2	2	2	0	0	1
1700010D01Rik	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	1	1	0	0	0
1700010H22Rik	1	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	29	63	50	47	24	37	35	33
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	1	3	2	5	2	1	0	6
1700010K24Rik	0	1	3	0	1	0	2	1
1700010L04Rik	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011D18Rik	2	3	3	3	2	3	1	2
1700011L03Rik	0	0	0	1	0	0	0	0
1700011L22Rik	5	1	0	7	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	1	0	0	0	0
1700012B07Rik	0	0	0	0	1	0	0	0
1700012B09Rik	2	9	16	5	3	10	13	13
1700012C08Rik	0	0	0	0	0	0	0	0
1700012C14Rik	0	3	1	3	1	2	0	2
1700012D16Rik	0	0	0	0	0	1	0	1
1700012E03Rik	1	1	0	1	1	0	0	0
1700012I11Rik	0	0	1	1	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	1	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	1	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0
1700014B07Rik	0	1	0	1	2	0	1	0
1700014D04Rik	9	19	7	17	10	11	5	19
1700014F14Rik	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	1	0	0	0	0
1700015C15Rik	0	0	0	1	1	2	1	0
1700015C17Rik	1	0	0	0	0	0	0	1
1700015G11Rik	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0
1700015I17Rik	2	1	0	2	0	0	1	0
1700015O11Rik	0	1	0	0	0	0	0	1
1700016A09Rik	26	24	32	36	23	15	16	31
1700016B01Rik	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	0	0	0	0	0	0
1700016C15Rik	3	0	1	0	0	0	2	0
1700016D08Rik	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0
1700016G22Rik	0	1	1	0	0	0	0	1
1700016H03Rik	0	0	0	0	0	0	0	0
1700016H13Rik	1	0	0	1	0	0	1	0
1700016J18Rik	0	3	3	3	1	0	0	1
1700016K05Rik	0	0	0	0	0	0	0	0
1700016K19Rik	21	34	36	35	18	39	35	43
1700016L21Rik	0	0	0	0	0	0	0	0
1700016P03Rik	62	60	87	73	30	48	65	114
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	681	630	920	786	780	834	729	776
1700017G19Rik	1	0	0	1	1	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	1	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	1
1700017M07Rik	3	2	8	5	5	4	0	2
1700017N19Rik	0	0	1	0	0	0	0	0
1700018A04Rik	10	4	8	5	8	5	4	3
1700018A14Rik	0	0	1	0	1	0	0	0
1700018A23Rik	0	0	2	1	1	0	1	2
1700018B08Rik	1	1	0	0	0	1	0	0
1700018B24Rik	4	0	0	2	0	0	0	1
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	101	67	32	111	18	25	14	26
1700018M17Rik	3	1	0	3	0	1	1	2
1700018P08Rik	0	0	0	0	0	0	0	0
1700019A02Rik	3	0	5	5	3	4	9	6
1700019A23Rik	0	0	2	1	0	0	0	1
1700019C18Rik	0	0	0	0	0	0	0	0
1700019D03Rik	190	162	157	161	133	145	126	180
1700019E08Rik	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0
1700019G24Rik	1	3	5	1	2	4	5	1
1700019J19Rik	0	0	0	0	1	0	0	0
1700019L13Rik	2	1	3	11	1	2	1	0
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	1	0	4	2	2	3	4	1
1700019P21Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	1	0	0	0	0	0	0
1700020D12Rik	0	0	0	0	0	0	0	0
1700020D14Rik	0	0	0	0	0	0	0	0
1700020G03Rik	9	11	7	16	1	1	2	1
1700020G17Rik	0	0	0	0	0	0	0	0
1700020L13Rik	11	7	0	10	4	2	3	6
1700020L24Rik	1	9	1	9	3	5	4	6
1700020M21Rik	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	3	2	1	0	1
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	1	0	1	0	0	3	1	0
1700021A07Rik	0	0	0	0	1	0	0	0
1700021F02Rik	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0
1700021J08Rik	0	1	0	9	1	1	2	2
1700021L23Rik	0	0	0	0	0	0	0	0
1700021N21Rik	2	4	0	2	0	0	0	2
1700021P04Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	1	0	0
1700022H01Rik	0	0	0	0	1	0	1	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	11	11	5	28	4	12	9	14
1700022N22Rik	2	12	6	24	4	6	7	14
1700023C21Rik	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	1	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0
1700023H06Rik	0	0	0	1	0	0	0	1
1700024B05Rik	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	1	0	0	0	0	0
1700024G13Rik	1	5	24	3	1	3	7	10
1700024I08Rik	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0	1	0
1700025A08Rik	1	0	0	1	1	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	1	0	0	0	0
1700025D23Rik	2	0	0	4	0	0	1	0
1700025F24Rik	0	0	2	2	0	0	0	0
1700025G04Rik	2874	3055	3527	3539	3050	3784	3440	4162
1700025H01Rik	0	0	0	0	0	0	0	0
1700025J12Rik	2	1	1	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0
1700025L06Rik	0	1	0	1	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N21Rik	0	0	0	0	0	0	0	0
1700025N23Rik	4	3	0	0	0	1	0	0
1700025O08Rik	0	0	0	0	0	0	0	0
1700026D11Rik	0	1	0	1	0	0	1	0
1700026F02Rik	0	0	0	3	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0
1700026J14Rik	5	14	5	8	4	3	4	8
1700026N04Rik	3	3	0	4	0	0	2	1
1700027A07Rik	15	17	4	17	1	5	3	3
1700027A15Rik	3	2	2	2	0	0	0	1
1700027F06Rik	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0
1700027H10Rik	0	1	0	3	0	0	0	0
1700027I24Rik	2	0	0	0	0	0	0	0
1700027J07Rik	0	1	3	0	0	0	0	0
1700028B04Rik	3	1	0	5	1	2	0	1
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	70	53	55	52	45	47	44	41
1700028I16Rik	1	0	0	0	1	0	1	0
1700028J19Rik	26	33	20	58	30	31	41	29
1700028K03Rik	49	35	28	38	19	17	32	32
1700028M03Rik	0	0	0	0	0	1	0	0
1700028N14Rik	0	0	1	0	0	1	1	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	1	0	1	0	0	0	0
1700029H14Rik	6	4	0	7	0	0	0	1
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	125	186	229	135	147	160	159	162
1700029M03Rik	0	0	0	1	0	0	0	0
1700029M20Rik	5	2	0	7	1	0	2	0
1700029N11Rik	0	0	0	0	0	0	0	0
1700030A11Rik	0	1	0	1	0	1	0	0
1700030C10Rik	3	3	1.5	5.5	3	7.5	7.5	7
1700030C12Rik	23	12	4	16	0	1	3	3
1700030C14Rik	7	9	7	9	11	11	5	7
1700030E10Rik	0	0	0	0	0	0	0	0
1700030F04Rik	2	0	1	0	1	2	0	2
1700030I03Rik	0	0	0	0	0	0	0	0
1700030J22Rik	81	93	212	97	172	229	136	209
1700030K09Rik	219	259	269	297	282	264	283	299
1700030L20Rik	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	2	1	2	1
1700030N03Rik	0	0	0	0	0	0	0	0
1700030N18Rik	0	1	2	0	0	0	2	4
1700030O20Rik	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	1	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0
1700031F10Rik	2	1	0	1	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	1	0	0
1700034B16Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	1	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0
1700034H15Rik	115	116	96	140	102	81	73	114
1700034J04Rik	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0
1700034P13Rik	4	4	1	9	3	2	2	3
1700036A12Rik	13	5	1	16	2	5	2	3
1700036G14Rik	0	1	0	0	0	1	0	0
1700036O09Rik	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0
1700037C18Rik	31	52	84	75	57	72	62	91
1700037F03Rik	1	1	0	1	1	0	0	1
1700037H04Rik	833	817	788	1226	786	810	628	766
1700039E22Rik	0	1	0	0	0	0	0	1
1700039I01Rik	0	1	0	2	0	1	0	0
1700039M10Rik	0	1	1	4	0	0	1	2
1700039M15Rik	0	0	0	0	0	0	0	0
1700040D17Rik	25	17	32	49	23	28	23	28
1700040E09Rik	0	0	0	1	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0
1700040K01Rik	0	1	0	1	0	1	1	0
1700040L08Rik	1	7	5	11	1	8	3	9
1700041B01Rik	2	6	2	15	0	0	2	2
1700041C23Rik	0	0	0	0	0	0	0	0
1700041G16Rik	0	4	3	1	3	7	2	4
1700041I07Rik	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	1	0	0	0	1	0
1700044C05Rik	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0	0	0
1700047E10Rik	0	0	0	0	0	0	0	0
1700047F07Rik	1	1	0	1	0	0	0	1
1700047G03Rik	0	0	0	0	0	0	0	0
1700047G07Rik	0	1	1	0	0	1	0	0
1700047K16Rik	30	17	8	34	0	5	2	5
1700047L14Rik	0	0	0	0	0	0	0	0
1700047M11Rik	98	184	521	169	345	485	476	600
1700047N06Rik	0	0	0	0	0	0	0	0
1700047O18Rik	0	0	0	0	0	0	0	1
1700048F04Rik	3	2	0	2	0	3	1	0
1700048M11Rik	1	0	0	0	0	1	0	0
1700048O14Rik	0	0	0	0	0	0	0	0
1700048O20Rik	135	120	136	143	46	79	144	115
1700048P04Rik	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0	0
1700051A21Rik	0	2	2	3	1	1	0	2
1700051K13Rik	0	0	0	1	0	0	0	0
1700051O22Rik	1	0	0	2	0	0	0	0
1700052H01Rik	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0
1700052K11Rik	83	101	200	175	191	218	177	235
1700054A03Rik	0	0	0	0	0	0	0	1
1700054K02Rik	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0
1700054M17Rik	2	1	1	0	1	1	1	0
1700054O05Rik	0	0	0	0	0	0	0	0
1700054O19Rik	1	1	1	0	2	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0
1700055D18Rik	32	36	13	30	10	13	16	19
1700056E22Rik	1	3	2	6	2	3	1	3
1700056N10Rik	125	116	66	154	77	79	63	75
1700057G04Rik	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	1	2	2
1700057H21Rik	0	0	0	0	0	1	0	0
1700058P15Rik	0	1	0	0	0	0	0	0
1700060C16Rik	0	0	0	1	0	0	0	0
1700060C20Rik	1	4	0	11	1	0	0	0
1700060J05Rik	2	1	2	8	1	1	3	2
1700060O08Rik	1	0	0	1	0	0	0	0
1700061A03Rik	2	0	0	1	0	0	0	0
1700061E17Rik	8	10	1	15	6	3	3	0
1700061E18Rik	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0
1700061H18Rik	0	0	0	0	0	0	0	0
1700061I17Rik	1	0	0	0	0	0	0	1
1700061J23Rik	0	0	0	0	0	0	0	0
1700061N14Rik	1	0	0	0	0	0	0	0
1700062C10Rik	1	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0
1700063D05Rik	33	45	20	27	35	23	27	32
1700063H04Rik	0	1	0	0	0	0	1	0
1700063H06Rik	0	0	0	0	0	0	0	0
1700063I16Rik	1	0	0	0	0	0	0	0
1700063J08Rik	2	5	1	3	0	0	1	2
1700063K16Rik	0	0	0	0	0	0	0	0
1700063O14Rik	0	1	7	2	8	9	6	3
1700064H15Rik	5	4	0	13	1	0	0	1
1700064J06Rik	0	0	0	0	0	0	0	0
1700064M15Rik	5	6	0	5	1	1	1	2
1700065D16Rik	13	13	5	15	5	7	5	10
1700065I16Rik	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	1	0	0	1
1700065L07Rik	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0
1700066B17Rik	1	0	0	0	0	0	0	0
1700066C05Rik	0	0	0	0	0	0	0	0
1700066J03Rik	2	3	1	4	2	1	0	2
1700066M21Rik	697	692	665	892	541	736	719	862
1700066N21Rik	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	2	0
1700067G17Rik	0	0	0	1	0	0	0	0
1700067K01Rik	7	3	2	4	1	1	2	2
1700067P10Rik	22	20	3	18	0	0	2	1
1700069B07Rik	3	3	0	8	2	1	1	1
1700069L16Rik	1	0	0	0	0	1	0	1
1700069P05Rik	0	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0	0
1700071K01Rik	2	1	3	1	1	0	1	2
1700071M16Rik	2	1	0	7	0	1	1	2
1700072B07Rik	0	0	0	0	0	0	0	0
1700072G22Rik	2	0	0	1	1	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0
1700073E17Rik	2	2	0	2	1	0	1	1
1700074A21Rik	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0
1700080C20Rik	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0
1700081B01Rik	1	1	1	0	4	4	1	2
1700081H04Rik	0	0	1	1	0	0	0	0
1700081N11Rik	7	3	6	7	5	10	4	9
1700082M22Rik	0	1	0	4	0	2	1	1
1700083H02Rik	0	0	0	0	0	0	0	0
1700084C06Rik	16	17	4	31	5	1	3	5
1700084D21Rik	0	0	0	0	0	0	0	0
1700084E18Rik	32	26	18	34	12	10	10	15
1700084F23Rik	0	0	0	0	0	0	0	0
1700084J12Rik	0	1	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700085C21Rik	2	1	0	0	0	0	0	0
1700085D07Rik	0	0	0	0	0	0	0	0
1700086D15Rik	4	1	0	3	0	0	0	1
1700086L19Rik	219	202	275	271	219	284	322	363
1700086O06Rik	163	179	133	250	97	125	123	120
1700086P04Rik	6	16	5	11	4	6	8	9
1700087I21Rik	616	898	456	1057	376	411	480	537
1700087M22Rik	0	0	0	0	0	0	0	0
1700088E04Rik	132	140	150	157	107	156	90	131
1700091H14Rik	0	0	0	0	0	0	0	0
1700092C02Rik	0	1	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0	0	0
1700092E16Rik	0	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0	0
1700092K14Rik	2	2	1	2	0	0	0	0
1700093J21Rik	9	7	2	9	3	2	5	3
1700093K21Rik	165	161	12	195	15	9	11	11
1700093P08Rik	0	0	0	1	0	0	0	1
1700094J05Rik	1	1	1	2	2	1	1	0
1700094M23Rik	3	3	7	0	4	5	1	4
1700094M24Rik	0	0	0	1	0	0	0	0
1700095A13Rik	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	1	0	0	0	0
1700095J03Rik	5	11	9	7	8	6	9	13
1700095J07Rik	0	0	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0	0	0
1700095K22Rik	0	0	0	0	0	0	0	0
1700096J18Rik	0	1	0	0	0	0	0	2
1700096K18Rik	73	75	53	155	49	44	42	69
1700097M23Rik	3	3	2	8	7	4	2	4
1700097N02Rik	0	0	0	0	0	0	0	0
1700099I09Rik	1	2	2	2	1	3	3	2
1700100I10Rik	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0
1700101I11Rik	74	100	41	175	26	55	36	70
1700101I19Rik	0	2	1	1	0	0	1	1
1700101O22Rik	0	0	0	0	0	0	1	0
1700102F20Rik	0	0	0	0	0	0	0	0
1700102H20Rik	9	12	9	15	5	4	3	7
1700102P08Rik	17	12	29	10	17	22	27	33
1700104B16Rik	0	3	1	0	2	0	2	1
1700104L18Rik	0	0	0	0	0	0	0	0
1700105G05Rik	0	0	0	0	0	0	0	0
1700105P06Rik	2	5	1	6	7	4	4	6
1700106O07Rik	0	0	0	0	0	0	0	0
1700108F19Rik	0	0	0	0	2	1	2	3
1700108J01Rik	1	0	0	0	0	0	0	0
1700108N06Rik	0	0	0	0	0	0	0	0
1700108N11Rik	4	1	0	5	1	1	0	7
1700109G14Rik	5	8	1	3	1	1	0	1
1700109G15Rik	0	0	0	0	0	0	0	0
1700109H08Rik	655	456	155	481	133	159	135	212
1700109I08Rik	0	0	0	0	0	0	0	0
1700109K24Rik	0	0	0	1	0	0	0	3
1700110C19Rik	43	18	18	25	28	29	24	27
1700110I01Rik	0	0	0	0	0	0	0	1
1700110I07Rik	0	0	0	0	0	0	0	0
1700110K17Rik	1	2	1	2	0	2	1	1
1700111E14Rik	0	0	0	0	0	1	0	0
1700111N16Rik	0	0	0	0	0	0	0	0
1700112D23Rik	3	3	12	5	10	10	9	15
1700112H15Rik	0	0	0	1	0	0	0	0
1700112J05Rik	0	0	0	1	0	0	0	0
1700112J16Rik	15	39	18	58	16	21	14	32
1700112K13Rik	0	0	0	0	0	0	0	0
1700112L15Rik	2	1	1	0	2	0	2	0
1700112M02Rik	0	0	0	0	0	0	0	0
1700113A16Rik	15	21	26	60	20	39	34	46
1700113B09Rik	0	2	2	3	0	2	2	0
1700113B19Rik	0	0	1	0	0	0	0	0
1700113H08Rik	3	2	1	4	0	1	3	1
1700116B05Rik	0	0	0	0	0	0	0	0
1700116H05Rik	0	2	1	2	1	1	1	1
1700119H24Rik	8	4	0	6	0	0	0	0
1700119I11Rik	0	0	2	0	1	0	1	0
1700120B22Rik	2	0	0	4	1	0	0	1
1700120C14Rik	59	59	26	73	26	26	23	26
1700120C18Rik	0	0	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	0	0	0
1700120G07Rik	0	0	2	0	2	1	0	0
1700120G11Rik	0	0	0	0	0	0	0	0
1700120K04Rik	0	0	1	1	0	2	1	1
